date_week,em_star,cum_star,em_star_up,em_star_low
2011-04-25,4.77480956868,5.0,4.90013240745,4.56998738789
2011-05-02,4.77539878783,5.0,4.95332970192,4.35997150715
2011-05-09,4.74598574332,4.83333333333,4.93542316061,4.31192752897
2011-05-16,4.75685966654,4.85714285714,4.96669438054,4.17761433317
2011-05-23,4.64118871204,4.75,4.89962762341,4.10449102333
2011-05-30,4.44788867841,4.66666666667,4.8164141379,3.76394797712
2011-06-06,4.5619418256,4.66666666667,4.8128733061,4.15880894042
2011-06-13,4.42079996735,4.61904761905,4.75187144934,3.89645373022
2011-06-20,3.94359691623,4.48,4.39356846842,3.35595907536
2011-06-27,4.37736984453,4.5,4.61707122994,4.0612757384
2011-07-04,4.49881176638,4.51724137931,4.81715623765,3.93781751879
2011-07-11,4.21242204923,4.48387096774,4.71886543351,3.38823562065
2011-07-18,4.05881160929,4.42857142857,4.42938094229,3.58694310328
2011-07-25,3.73872895558,4.37837837838,4.28138040735,3.03760370213
2011-08-01,4.18975736082,4.39473684211,4.64918680197,3.4906648428
2011-08-08,4.64210787616,4.43902439024,4.81142925549,4.39687093211
2011-08-15,4.67416407709,4.45238095238,4.90856511194,4.17211725402
2011-08-22,4.56689952634,4.45454545455,4.89682528013,3.86553057046
2011-08-29,2.89878470904,4.37777777778,4.37798110774,1.1562851143
2011-09-05,4.03604265648,4.39130434783,4.60712515344,3.13464123795
2011-09-12,3.98313534159,4.3829787234,4.63361999025,2.98869039497
2011-09-19,4.35763735585,4.39583333333,4.78695582156,3.57304977769
2011-09-26,4.41531327649,4.4,4.77475537355,3.80662005969
2011-10-10,4.43744842341,4.40384615385,4.78431215677,3.84590143214
2011-10-17,4.43905142807,4.40740740741,4.79327763405,3.82322359595
2011-10-24,4.36733684012,4.40350877193,4.7121279778,3.83645854345
2011-10-31,4.522423413,4.41666666667,4.76441828276,4.16247730063
2011-11-07,4.56525551595,4.43076923077,4.75878045399,4.2917693333
2011-11-28,4.36814697824,4.42028985507,4.66731106516,3.93883288916
2011-12-05,4.40775781848,4.42253521127,4.73841870565,3.87438706793
2011-12-12,4.53515674736,4.43055555556,4.86642146048,3.86544178696
2011-12-19,4.49046010856,4.43243243243,4.84627542144,3.8327130859
2011-12-26,3.59698686292,4.39473684211,4.44977933373,2.40104006853
2012-01-02,2.7787153457,4.36363636364,3.86731922383,1.60385580451
2012-01-09,3.90724911366,4.36708860759,4.31917470554,3.39555294062
2012-01-16,4.24850369709,4.375,4.67770553616,3.5890841935
2012-01-23,4.48708942452,4.38554216867,4.73182501318,4.12949611622
2012-01-30,4.14359212425,4.36363636364,4.48206265887,3.71046908148
2012-02-06,3.77974935366,4.34444444444,4.32878646668,3.05475489406
2012-02-13,4.21067507418,4.35164835165,4.66771759775,3.50243314017
2012-02-20,4.64941834087,4.37234042553,4.82024246097,4.39831136773
2012-02-27,4.56992487746,4.375,4.8488611527,4.05746432561
2012-03-05,4.44650051312,4.37623762376,4.7150293638,4.05596629621
2012-03-12,4.55020671873,4.38235294118,4.86306684006,3.92651272519
2012-03-19,4.63047617761,4.38834951456,4.92551031299,3.95047580709
2012-03-26,4.63748385869,4.39622641509,4.8925678718,4.11533626296
2012-04-02,4.74959539902,4.40740740741,4.93759799716,4.34348118145
2012-04-09,4.07553467767,4.39090909091,4.78583093054,2.70539116805
2012-04-16,4.57651790543,4.40350877193,4.75588384195,4.33260546933
2012-04-23,4.43648858638,4.40170940171,4.73656546385,3.97800176278
2012-04-30,4.11823631697,4.38524590164,4.45794306928,3.68767734173
2012-05-07,4.35546823718,4.39024390244,4.7413715768,3.7189731007
2012-05-14,4.52631730404,4.39682539683,4.77579540313,4.15433617688
2012-05-21,3.9875595006,4.38582677165,4.67715060866,2.82845831581
2012-05-28,4.28047860132,4.38759689922,4.6668625636,3.71702946214
2012-06-04,4.49539652924,4.39393939394,4.73887947857,4.12963034901
2012-06-11,4.57809538819,4.3984962406,4.86842407757,4.01368402714
2012-06-18,3.97526394948,4.38235294118,4.57991411034,3.03268566787
2012-06-25,3.95436833429,4.3795620438,4.60548956211,2.95150176829
2012-07-02,4.51587978947,4.38848920863,4.76814338882,4.12623986714
2012-07-09,4.32173291843,4.38571428571,4.79562998637,3.43752005196
2012-07-16,4.63896344853,4.39436619718,4.87168205697,4.22059290974
2012-07-23,4.02850026802,4.37671232877,4.55408003429,3.2647248418
2012-08-06,4.34552502731,4.38095238095,4.76026219703,3.6163803445
2012-08-13,4.30031874749,4.37662337662,4.5181765054,4.02434218832
2012-08-20,3.89566799788,4.36538461538,4.40288477475,3.21224698442
2012-08-27,4.21185297094,4.36708860759,4.56769869593,3.72159489573
2012-09-03,4.09825237502,4.36477987421,4.65276367912,3.22037753457
2012-09-10,4.0194088028,4.3625,4.66053445486,2.98955655446
2012-09-17,4.23540084314,4.36196319018,4.55881598883,3.79351887785
2012-09-24,3.23636324397,4.33939393939,3.99263054432,2.35438332131
2012-10-01,4.1799397346,4.34319526627,4.39556180337,3.92470258119
2012-10-08,4.29898324574,4.34502923977,4.62177850214,3.84409061369
2012-10-22,4.12797630673,4.34104046243,4.58646697424,3.4745141253
2012-11-05,4.61746451875,4.35227272727,4.78961297993,4.36714732012
2012-11-12,4.54446599697,4.35393258427,4.82889402836,4.04164494324
2012-11-19,4.50956551142,4.35714285714,4.76784376198,4.09299123417
2012-11-26,4.31017589989,4.35519125683,4.79661563364,3.40873603625
2012-12-03,4.70355948349,4.36559139785,4.86611095647,4.43795915411
2012-12-10,4.76599324121,4.37234042553,4.93209215407,4.42353759599
2012-12-17,4.77265666013,4.37566137566,4.96559522759,4.24788383971
2012-12-31,4.77068403468,4.37894736842,4.98031151593,4.04054873392
2013-01-07,4.59246790736,4.38020833333,4.96239465607,3.44887070098
2013-01-14,4.81970226214,4.38974358974,4.96128353973,4.47685961304
